!Thresh(eV)            0.00                       0.02                       0.291                      0.59                       0.88                       1.17                       1.47                       1.76                       2.06                       2.35                       6.17                       7.00                       7.35                       7.36                       7.80                       8.16                       8.40                       8.55                       8.89                       11.03                      11.87                      12.25                      13.0                       15.6                       0.00
!Reaction              e+N2(X1)->e+N2(X1)         e+N2(X1)->e+N2(Rot)        e+N2(X1)->e+N2(v1)         e+N2(X1)->e+N2(v2)         e+N2(X1)->e+N2(v3)         e+N2(X1)->e+N2(v4)         e+N2(X1)->e+N2(v5)         e+N2(X1)->e+N2(v6)         e+N2(X1)->e+N2(v7)         e+N2(X1)->e+N2(v8)         e+N2(X1)->e+N2(A3,v0-4)    e+N2(X1)->e+N2(A3,v5-9)    e+N2(X1)->e+N2(B3)         e+N2(X1)->e+N2(W3)         e+N2(X1)->e+N2(A3,v10-)    e+N2(X1)->e+N2(B'3)        e+N2(X1)->e+N2(a'1)        e+N2(X1)->e+N2(a1)         e+N2(X1)->e+N2(w1)         e+N2(X1)->e+N2(C3)         e+N2(X1)->e+N2(E3)         e+N2(X1)->e+N2(a''1)       e+N2(X1)->e+N2(sum)        e+N2(X1)->e+e+N2(X2:ion)   e+N2(X2:ion)->N(4S)+N(4S)
!Type                  Ground/MomXfer             Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Ionization                 Recombination
!<E> (eV)              Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)
!---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0.01                  9.460E-10                  8.643E-14                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  2.630E-07
 0.2                   2.071E-08                  6.057E-11                  2.475E-12                  4.872E-14                  2.549E-14                  7.682E-15                  4.328E-15                  1.283E-15                  2.726E-16                  4.233E-17                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  1.071E-07
 0.4                   3.569E-08                  1.485E-10                  9.798E-11                  4.171E-11                  2.741E-11                  1.367E-11                  9.294E-12                  5.174E-12                  1.756E-12                  4.942E-13                  5.251E-22                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  8.697E-08
 0.6                   4.871E-08                  5.666E-10                  6.575E-10                  3.474E-10                  2.382E-10                  1.373E-10                  9.995E-11                  6.686E-11                  2.672E-11                  9.113E-12                  7.930E-18                  6.126E-18                  1.966E-17                  4.010E-18                  7.914E-19                  5.750E-19                  2.607E-19                  4.158E-19                  9.482E-20                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  0.000E+00                  7.701E-08
 0.8                   6.170E-08                  1.322E-09                  1.638E-09                  9.211E-10                  6.378E-10                  3.915E-10                  2.955E-10                  2.145E-10                  9.318E-11                  3.494E-11                  4.834E-16                  6.453E-16                  2.384E-15                  6.874E-16                  1.619E-16                  1.302E-16                  7.574E-17                  1.411E-16                  6.121E-17                  5.353E-18                  5.709E-19                  1.338E-20                  0.000E+00                  0.000E+00                  7.064E-08
 1.0                   7.458E-08                  2.164E-09                  2.701E-09                  1.560E-09                  1.082E-09                  6.866E-10                  5.301E-10                  4.024E-10                  1.839E-10                  7.291E-11                  6.007E-15                  1.097E-14                  4.307E-14                  1.493E-14                  3.843E-15                  3.206E-15                  2.046E-15                  4.003E-15                  1.985E-15                  6.604E-16                  3.896E-17                  5.304E-18                  2.113E-17                  4.084E-20                  6.607E-08
 1.2                   8.672E-08                  2.918E-09                  3.635E-09                  2.126E-09                  1.472E-09                  9.535E-10                  7.477E-10                  5.832E-10                  2.758E-10                  1.135E-10                  3.340E-14                  7.463E-14                  3.019E-13                  1.186E-13                  3.259E-14                  2.780E-14                  1.885E-14                  3.807E-14                  2.042E-14                  1.286E-14                  6.195E-16                  1.288E-16                  6.665E-16                  1.702E-17                  6.255E-08
 1.4                   9.764E-08                  3.517E-09                  4.367E-09                  2.570E-09                  1.776E-09                  1.165E-09                  9.244E-10                  7.344E-10                  3.559E-10                  1.504E-10                  1.166E-13                  2.989E-13                  1.227E-12                  5.294E-13                  1.524E-13                  1.324E-13                  9.365E-14                  1.937E-13                  1.088E-13                  1.078E-13                  4.332E-15                  1.255E-15                  7.624E-15                  3.303E-16                  5.972E-08
 1.6                   1.073E-07                  3.958E-09                  4.902E-09                  2.891E-09                  1.994E-09                  1.321E-09                  1.057E-09                  8.504E-10                  4.199E-10                  1.809E-10                  3.029E-13                  8.564E-13                  3.532E-12                  1.645E-12                  4.892E-13                  4.325E-13                  3.153E-13                  6.653E-13                  3.831E-13                  5.317E-13                  1.822E-14                  6.980E-15                  4.803E-14                  2.958E-15                  5.738E-08
 1.8                   1.153E-07                  4.262E-09                  5.270E-09                  3.109E-09                  2.139E-09                  1.426E-09                  1.149E-09                  9.339E-10                  4.679E-10                  2.046E-10                  6.443E-13                  1.958E-12                  8.066E-12                  4.009E-12                  1.219E-12                  1.096E-12                  8.169E-13                  1.755E-12                  1.021E-12                  1.835E-12                  5.480E-14                  2.671E-14                  2.036E-13                  1.641E-14                  5.539E-08
