!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2.923e-01                   1.512e-14                   0.000e+00                   0.000e+00                   5.358e-17                   4.200e-20                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00
8.548e-01                   5.317e-14                   0.000e+00                   0.000e+00                   2.217e-16                   9.966e-17                   4.780e-17                   3.681e-18                   2.707e-19                   1.085e-21                   3.105e-23                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00
9.677e-01                   5.972e-14                   0.000e+00                   0.000e+00                   3.594e-16                   1.497e-16                   2.599e-16                   4.928e-17                   9.855e-18                   2.736e-19                   5.380e-20                   2.846e-22                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   8.994e-24                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00
1.011e+00                   6.274e-14                   0.000e+00                   0.000e+00                   5.010e-16                   1.620e-16                   5.230e-16                   1.397e-16                   4.265e-17                   3.029e-18                   1.059e-18                   3.071e-20                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   1.718e-21                   4.495e-23                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00
1.036e+00                   6.465e-14                   0.000e+00                   0.000e+00                   6.496e-16                   1.651e-16                   7.915e-16                   2.602e-16                   9.961e-17                   1.254e-17                   5.188e-18                   3.689e-19                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   3.511e-20                   2.078e-21                   2.671e-25                   6.098e-25                   2.482e-24                   8.561e-25                   2.076e-25                   1.729e-25                   1.033e-25                   1.937e-25                   0.000e+00
1.057e+00                   6.608e-14                   0.000e+00                   0.000e+00                   8.043e-16                   1.650e-16                   1.059e-15                   3.973e-16                   1.775e-16                   3.216e-17                   1.496e-17                   1.834e-18                   4.726e-25                   0.000e+00                   0.000e+00                   0.000e+00                   2.468e-19                   2.432e-20                   1.490e-23                   3.787e-23                   1.567e-22                   5.953e-23                   1.540e-23                   1.299e-23                   8.276e-24                   1.609e-23                   7.683e-24
1.075e+00                   6.729e-14                   0.000e+00                   0.000e+00                   9.651e-16                   1.641e-16                   1.324e-15                   5.430e-16                   2.702e-16                   6.243e-17                   3.159e-17                   5.778e-18                   2.007e-23                   2.481e-24                   1.455e-25                   2.873e-25                   9.613e-19                   1.345e-19                   2.306e-22                   6.325e-22                   2.642e-21                   1.075e-21                   2.924e-22                   2.485e-22                   1.655e-22                   3.295e-22                   1.695e-22
1.092e+00                   6.840e-14                   0.000e+00                   0.000e+00                   1.134e-15                   1.624e-16                   1.585e-15                   6.966e-16                   3.750e-16                   1.040e-16                   5.577e-17                   1.325e-17                   3.119e-22                   3.571e-23                   2.816e-24                   7.107e-24                   2.697e-18                   4.698e-19                   1.690e-21                   4.907e-21                   2.062e-20                   8.843e-21                   2.500e-21                   2.137e-21                   1.471e-21                   2.978e-21                   1.613e-21
1.110e+00                   6.950e-14                   3.025e-25                   0.000e+00                   1.308e-15                   1.608e-16                   1.842e-15                   8.511e-16                   4.848e-16                   1.541e-16                   8.707e-17                   2.567e-17                   2.534e-21                   2.614e-22                   2.681e-23                   8.175e-23                   5.929e-18                   1.239e-18                   7.660e-21                   2.326e-20                   9.803e-20                   4.387e-20                   1.278e-20                   1.099e-20                   7.755e-21                   1.591e-20                   8.937e-21
1.132e+00                   7.064e-14                   3.684e-24                   0.000e+00                   1.487e-15                   1.591e-16                   2.098e-15                   1.010e-15                   6.010e-16                   2.129e-16                   1.250e-16                   4.301e-17                   1.344e-20                   1.228e-21                   1.605e-22                   5.702e-22                   1.124e-17                   2.662e-18                   2.549e-20                   8.016e-20                   3.384e-19                   1.569e-19                   4.680e-20                   4.053e-20                   2.916e-20                   6.043e-20                   3.486e-20
