E/N (Td)          Energy (eV)
1.000e-02         2.923e-01
4.741e+00         8.548e-01
9.473e+00         9.677e-01
1.420e+01         1.011e+00
1.894e+01         1.036e+00
2.367e+01         1.057e+00
2.840e+01         1.075e+00
3.313e+01         1.092e+00
3.786e+01         1.110e+00
4.259e+01         1.132e+00
4.732e+01         1.159e+00
5.206e+01         1.196e+00
5.679e+01         1.244e+00
6.152e+01         1.305e+00
6.625e+01         1.382e+00
7.098e+01         1.474e+00
7.571e+01         1.582e+00
8.044e+01         1.703e+00
8.518e+01         1.837e+00
8.991e+01         1.981e+00
9.464e+01         2.133e+00
9.937e+01         2.291e+00
1.041e+02         2.452e+00
1.088e+02         2.615e+00
1.136e+02         2.779e+00
1.183e+02         2.941e+00
1.230e+02         3.101e+00
1.278e+02         3.259e+00
1.325e+02         3.412e+00
1.372e+02         3.562e+00
1.420e+02         3.708e+00
1.467e+02         3.850e+00
1.514e+02         3.987e+00
1.561e+02         4.120e+00
1.609e+02         4.249e+00
1.656e+02         4.374e+00
1.703e+02         4.496e+00
1.751e+02         4.613e+00
1.798e+02         4.728e+00
1.845e+02         4.839e+00
1.893e+02         4.947e+00
1.940e+02         5.052e+00
1.987e+02         5.155e+00
2.035e+02         5.255e+00
2.082e+02         5.352e+00
2.129e+02         5.448e+00
2.177e+02         5.541e+00
2.224e+02         5.633e+00
2.271e+02         5.722e+00
2.319e+02         5.810e+00
2.366e+02         5.897e+00
2.413e+02         5.981e+00
2.460e+02         6.065e+00
2.508e+02         6.147e+00
2.555e+02         6.228e+00
2.602e+02         6.308e+00
2.650e+02         6.387e+00
2.697e+02         6.464e+00
2.744e+02         6.541e+00
2.792e+02         6.617e+00
2.839e+02         6.692e+00
2.886e+02         6.767e+00
2.934e+02         6.840e+00
2.981e+02         6.913e+00
3.028e+02         6.985e+00
3.076e+02         7.057e+00
3.123e+02         7.128e+00
3.170e+02         7.199e+00
3.217e+02         7.269e+00
3.265e+02         7.338e+00
3.312e+02         7.407e+00
3.359e+02         7.476e+00
3.407e+02         7.544e+00
3.454e+02         7.611e+00
3.501e+02         7.679e+00
3.549e+02         7.746e+00
3.596e+02         7.812e+00
3.643e+02         7.879e+00
3.691e+02         7.945e+00
3.738e+02         8.010e+00
3.785e+02         8.076e+00
3.833e+02         8.141e+00
3.880e+02         8.206e+00
3.927e+02         8.270e+00
3.975e+02         8.335e+00
4.022e+02         8.399e+00
4.069e+02         8.463e+00
4.116e+02         8.527e+00
4.164e+02         8.590e+00
4.211e+02         8.653e+00
4.258e+02         8.717e+00
4.306e+02         8.780e+00
4.353e+02         8.842e+00
4.400e+02         8.905e+00
4.448e+02         8.968e+00
4.495e+02         9.030e+00
4.542e+02         9.092e+00
4.590e+02         9.154e+00
4.637e+02         9.216e+00
4.684e+02         9.278e+00
4.732e+02         9.340e+00
4.779e+02         9.401e+00
4.826e+02         9.463e+00
4.873e+02         9.524e+00
4.921e+02         9.585e+00
4.968e+02         9.646e+00
5.015e+02         9.707e+00
5.063e+02         9.768e+00
5.110e+02         9.829e+00
5.157e+02         9.890e+00
5.205e+02         9.951e+00
5.252e+02         1.001e+01
5.299e+02         1.007e+01
5.347e+02         1.013e+01
5.394e+02         1.019e+01
5.441e+02         1.025e+01
5.489e+02         1.031e+01
5.536e+02         1.037e+01
5.583e+02         1.043e+01
5.631e+02         1.049e+01
5.678e+02         1.055e+01
5.725e+02         1.061e+01
5.772e+02         1.067e+01
5.820e+02         1.073e+01
5.867e+02         1.079e+01
5.914e+02         1.085e+01
5.962e+02         1.091e+01
6.009e+02         1.097e+01
6.056e+02         1.103e+01
6.104e+02         1.109e+01
6.151e+02         1.115e+01
6.198e+02         1.121e+01
6.246e+02         1.127e+01
6.293e+02         1.133e+01
6.340e+02         1.139e+01
6.388e+02         1.145e+01
6.435e+02         1.151e+01
6.482e+02         1.156e+01
6.529e+02         1.162e+01
6.577e+02         1.168e+01
6.624e+02         1.174e+01
6.671e+02         1.180e+01
6.719e+02         1.186e+01
6.766e+02         1.192e+01
6.813e+02         1.198e+01
6.861e+02         1.204e+01
6.908e+02         1.210e+01
6.955e+02         1.216e+01
7.003e+02         1.221e+01
7.050e+02         1.227e+01
7.097e+02         1.233e+01
7.145e+02         1.239e+01
7.192e+02         1.245e+01
7.239e+02         1.251e+01
7.287e+02         1.257e+01
7.334e+02         1.263e+01
7.381e+02         1.268e+01
7.428e+02         1.274e+01
7.476e+02         1.280e+01
7.523e+02         1.286e+01
7.570e+02         1.292e+01
7.618e+02         1.298e+01
7.665e+02         1.304e+01
7.712e+02         1.309e+01
7.760e+02         1.315e+01
7.807e+02         1.321e+01
7.854e+02         1.327e+01
7.902e+02         1.333e+01
7.949e+02         1.339e+01
7.996e+02         1.345e+01
8.044e+02         1.350e+01
8.091e+02         1.356e+01
8.138e+02         1.362e+01
8.185e+02         1.368e+01
8.233e+02         1.374e+01
8.280e+02         1.380e+01
8.327e+02         1.386e+01
8.375e+02         1.391e+01
8.422e+02         1.397e+01
8.469e+02         1.403e+01
8.517e+02         1.409e+01
8.564e+02         1.415e+01
8.611e+02         1.421e+01
8.659e+02         1.426e+01
8.706e+02         1.432e+01
8.753e+02         1.438e+01
8.801e+02         1.444e+01
8.848e+02         1.450e+01
8.895e+02         1.456e+01
8.943e+02         1.461e+01
8.990e+02         1.467e+01
9.037e+02         1.473e+01
9.084e+02         1.479e+01
9.132e+02         1.485e+01
9.179e+02         1.491e+01
9.226e+02         1.496e+01
9.274e+02         1.502e+01
9.321e+02         1.508e+01
9.368e+02         1.514e+01
9.416e+02         1.520e+01
9.463e+02         1.526e+01
9.510e+02         1.531e+01
9.558e+02         1.537e+01
9.605e+02         1.543e+01
9.652e+02         1.549e+01
9.700e+02         1.555e+01
9.747e+02         1.561e+01
9.794e+02         1.566e+01
9.842e+02         1.572e+01
9.889e+02         1.578e+01
9.936e+02         1.584e+01
9.983e+02         1.590e+01
1.003e+03         1.595e+01
1.008e+03         1.601e+01
1.013e+03         1.607e+01
1.017e+03         1.613e+01
1.022e+03         1.619e+01
1.027e+03         1.625e+01
1.031e+03         1.630e+01
1.036e+03         1.636e+01
1.041e+03         1.642e+01
1.046e+03         1.648e+01
1.050e+03         1.654e+01
1.055e+03         1.659e+01
1.060e+03         1.665e+01
1.065e+03         1.671e+01
1.069e+03         1.677e+01
1.074e+03         1.683e+01
1.079e+03         1.688e+01
1.084e+03         1.694e+01
1.088e+03         1.700e+01
1.093e+03         1.706e+01
1.098e+03         1.712e+01
1.102e+03         1.717e+01
1.107e+03         1.723e+01
1.112e+03         1.729e+01
1.117e+03         1.735e+01
1.121e+03         1.741e+01
1.126e+03         1.747e+01
1.131e+03         1.752e+01
1.136e+03         1.758e+01
1.140e+03         1.764e+01
1.145e+03         1.770e+01
1.150e+03         1.776e+01
1.154e+03         1.781e+01
1.159e+03         1.787e+01
1.164e+03         1.793e+01
1.169e+03         1.799e+01
1.173e+03         1.804e+01
1.178e+03         1.810e+01
1.183e+03         1.816e+01
1.188e+03         1.822e+01
1.192e+03         1.827e+01
1.197e+03         1.833e+01
1.202e+03         1.839e+01
1.207e+03         1.845e+01
1.211e+03         1.851e+01
1.216e+03         1.856e+01
1.221e+03         1.862e+01
1.225e+03         1.868e+01
1.230e+03         1.874e+01
1.235e+03         1.879e+01
1.240e+03         1.885e+01
1.244e+03         1.891e+01
1.249e+03         1.897e+01
1.254e+03         1.902e+01
1.259e+03         1.908e+01
1.263e+03         1.914e+01
1.268e+03         1.920e+01
1.273e+03         1.925e+01
1.277e+03         1.931e+01
1.282e+03         1.937e+01
1.287e+03         1.942e+01
1.292e+03         1.948e+01
1.296e+03         1.954e+01
1.301e+03         1.960e+01
1.306e+03         1.965e+01
1.311e+03         1.971e+01
1.315e+03         1.977e+01
1.320e+03         1.982e+01
1.325e+03         1.988e+01
1.330e+03         1.994e+01
1.334e+03         2.000e+01
1.339e+03         2.005e+01
1.344e+03         2.011e+01
1.348e+03         2.017e+01
1.353e+03         2.022e+01
1.358e+03         2.028e+01
1.363e+03         2.034e+01
1.367e+03         2.039e+01
1.372e+03         2.045e+01
1.377e+03         2.051e+01
1.382e+03         2.056e+01
1.386e+03         2.062e+01
1.391e+03         2.068e+01
1.396e+03         2.073e+01
1.401e+03         2.079e+01
1.405e+03         2.085e+01
1.410e+03         2.090e+01
1.415e+03         2.096e+01
1.419e+03         2.101e+01
1.424e+03         2.107e+01
1.429e+03         2.113e+01
1.434e+03         2.118e+01
1.438e+03         2.124e+01
1.443e+03         2.130e+01
1.448e+03         2.135e+01
1.453e+03         2.141e+01
1.457e+03         2.146e+01
1.462e+03         2.152e+01
1.467e+03         2.158e+01
1.471e+03         2.163e+01
1.476e+03         2.169e+01
1.481e+03         2.174e+01
1.486e+03         2.180e+01
1.490e+03         2.185e+01
1.495e+03         2.191e+01
1.500e+03         2.197e+01
1.505e+03         2.202e+01
1.509e+03         2.208e+01
1.514e+03         2.213e+01
1.519e+03         2.219e+01
1.524e+03         2.224e+01
1.528e+03         2.230e+01
1.533e+03         2.235e+01
1.538e+03         2.241e+01
1.542e+03         2.246e+01
1.547e+03         2.252e+01
1.552e+03         2.257e+01
1.557e+03         2.263e+01
1.561e+03         2.268e+01
1.566e+03         2.274e+01
1.571e+03         2.279e+01
1.576e+03         2.285e+01
1.580e+03         2.290e+01
1.585e+03         2.296e+01
1.590e+03         2.301e+01
1.595e+03         2.307e+01
1.599e+03         2.312e+01
1.604e+03         2.318e+01
1.609e+03         2.323e+01
1.613e+03         2.329e+01
1.618e+03         2.334e+01
1.623e+03         2.339e+01
1.628e+03         2.345e+01
1.632e+03         2.350e+01
1.637e+03         2.356e+01
1.642e+03         2.361e+01
1.647e+03         2.367e+01
1.651e+03         2.372e+01
1.656e+03         2.377e+01
1.661e+03         2.383e+01
1.665e+03         2.388e+01
1.670e+03         2.393e+01
1.675e+03         2.399e+01
1.680e+03         2.404e+01
1.684e+03         2.410e+01
1.689e+03         2.415e+01
1.694e+03         2.420e+01
1.699e+03         2.426e+01
1.703e+03         2.431e+01
1.708e+03         2.436e+01
1.713e+03         2.442e+01
1.718e+03         2.447e+01
1.722e+03         2.452e+01
1.727e+03         2.458e+01
1.732e+03         2.463e+01
1.736e+03         2.468e+01
1.741e+03         2.473e+01
1.746e+03         2.479e+01
1.751e+03         2.484e+01
1.755e+03         2.489e+01
1.760e+03         2.495e+01
1.765e+03         2.500e+01
1.770e+03         2.505e+01
1.774e+03         2.510e+01
1.779e+03         2.516e+01
1.784e+03         2.521e+01
1.788e+03         2.526e+01
1.793e+03         2.531e+01
1.798e+03         2.537e+01
1.803e+03         2.542e+01
1.807e+03         2.547e+01
1.812e+03         2.552e+01
1.817e+03         2.557e+01
1.822e+03         2.563e+01
1.826e+03         2.568e+01
1.831e+03         2.573e+01
1.836e+03         2.578e+01
1.841e+03         2.583e+01
1.845e+03         2.588e+01
1.850e+03         2.593e+01
1.855e+03         2.599e+01
1.859e+03         2.604e+01
1.864e+03         2.609e+01
1.869e+03         2.614e+01
1.874e+03         2.619e+01
1.878e+03         2.624e+01
1.883e+03         2.629e+01
1.888e+03         2.634e+01
1.893e+03         2.640e+01
1.897e+03         2.645e+01
1.902e+03         2.650e+01
1.907e+03         2.655e+01
1.912e+03         2.660e+01
1.916e+03         2.665e+01
1.921e+03         2.670e+01
1.926e+03         2.675e+01
1.930e+03         2.680e+01
1.935e+03         2.685e+01
1.940e+03         2.690e+01
1.945e+03         2.695e+01
1.949e+03         2.700e+01
1.954e+03         2.705e+01
1.959e+03         2.710e+01
1.964e+03         2.715e+01
1.968e+03         2.720e+01
1.973e+03         2.725e+01
1.978e+03         2.730e+01
1.982e+03         2.735e+01
1.987e+03         2.740e+01
1.992e+03         2.745e+01
1.997e+03         2.750e+01
2.001e+03         2.755e+01
2.006e+03         2.760e+01
2.011e+03         2.765e+01
2.016e+03         2.770e+01
2.020e+03         2.775e+01
2.025e+03         2.779e+01
2.030e+03         2.784e+01
2.035e+03         2.789e+01
2.039e+03         2.794e+01
2.044e+03         2.799e+01
2.049e+03         2.804e+01
2.053e+03         2.809e+01
2.058e+03         2.814e+01
2.063e+03         2.818e+01
2.068e+03         2.823e+01
2.072e+03         2.828e+01
2.077e+03         2.833e+01
2.082e+03         2.838e+01
2.087e+03         2.843e+01
2.091e+03         2.847e+01
2.096e+03         2.852e+01
2.101e+03         2.857e+01
2.106e+03         2.862e+01
2.110e+03         2.866e+01
2.115e+03         2.871e+01
2.120e+03         2.876e+01
2.124e+03         2.881e+01
2.129e+03         2.886e+01
2.134e+03         2.890e+01
2.139e+03         2.895e+01
2.143e+03         2.900e+01
2.148e+03         2.905e+01
2.153e+03         2.909e+01
2.158e+03         2.914e+01
2.162e+03         2.919e+01
2.167e+03         2.923e+01
2.172e+03         2.928e+01
2.176e+03         2.933e+01
2.181e+03         2.937e+01
2.186e+03         2.942e+01
2.191e+03         2.947e+01
2.195e+03         2.951e+01
2.200e+03         2.956e+01
2.205e+03         2.961e+01
2.210e+03         2.965e+01
2.214e+03         2.970e+01
2.219e+03         2.975e+01
2.224e+03         2.979e+01
2.229e+03         2.984e+01
2.233e+03         2.988e+01
2.238e+03         2.993e+01
2.243e+03         2.998e+01
2.247e+03         3.002e+01
2.252e+03         3.007e+01
2.257e+03         3.011e+01
2.262e+03         3.016e+01
2.266e+03         3.020e+01
2.271e+03         3.025e+01
2.276e+03         3.029e+01
2.281e+03         3.034e+01
2.285e+03         3.038e+01
2.290e+03         3.043e+01
2.295e+03         3.047e+01
2.299e+03         3.052e+01
2.304e+03         3.056e+01
2.309e+03         3.061e+01
2.314e+03         3.065e+01
2.318e+03         3.070e+01
2.323e+03         3.074e+01
2.328e+03         3.079e+01
2.333e+03         3.083e+01
2.337e+03         3.088e+01
2.342e+03         3.092e+01
2.347e+03         3.097e+01
2.352e+03         3.101e+01
2.356e+03         3.105e+01
2.361e+03         3.110e+01
