E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
1.000e-02         2.923e-01         2.261e+03         2.854e-01         4.417e-02         0.000e+00
4.741e+00         8.548e-01         6.613e+03         9.202e-02         6.966e-02         -4.023e-53
9.473e+00         9.677e-01         7.486e+03         7.454e-02         7.191e-02         -2.221e-36
1.420e+01         1.011e+00         7.819e+03         6.684e-02         7.226e-02         -1.352e-31
1.894e+01         1.036e+00         8.018e+03         6.248e-02         7.220e-02         1.360e-34
2.367e+01         1.057e+00         8.176e+03         5.952e-02         7.201e-02         6.420e-31
2.840e+01         1.075e+00         8.315e+03         5.712e-02         7.177e-02         2.005e-28
3.313e+01         1.092e+00         8.448e+03         5.542e-02         7.151e-02         1.285e-26
3.786e+01         1.110e+00         8.590e+03         5.383e-02         7.128e-02         3.025e-25
4.259e+01         1.132e+00         8.757e+03         5.260e-02         7.108e-02         3.684e-24
4.732e+01         1.159e+00         8.969e+03         5.137e-02         7.101e-02         2.763e-23
5.206e+01         1.196e+00         9.250e+03         5.030e-02         7.112e-02         1.470e-22
5.679e+01         1.244e+00         9.620e+03         4.935e-02         7.148e-02         6.028e-22
6.152e+01         1.305e+00         1.010e+04         4.851e-02         7.215e-02         2.008e-21
6.625e+01         1.382e+00         1.069e+04         4.766e-02         7.317e-02         5.681e-21
7.098e+01         1.474e+00         1.140e+04         4.686e-02         7.453e-02         1.405e-20
7.571e+01         1.582e+00         1.224e+04         4.623e-02         7.625e-02         3.120e-20
8.044e+01         1.703e+00         1.317e+04         4.559e-02         7.830e-02         6.329e-20
8.518e+01         1.837e+00         1.421e+04         4.494e-02         8.068e-02         1.188e-19
8.991e+01         1.981e+00         1.533e+04         4.435e-02         8.332e-02         2.086e-19
9.464e+01         2.133e+00         1.650e+04         4.393e-02         8.617e-02         3.477e-19
9.937e+01         2.291e+00         1.772e+04         4.343e-02         8.918e-02         5.504e-19
1.041e+02         2.452e+00         1.897e+04         4.302e-02         9.231e-02         8.387e-19
1.088e+02         2.615e+00         2.023e+04         4.264e-02         9.545e-02         1.229e-18
1.136e+02         2.779e+00         2.150e+04         4.227e-02         9.867e-02         1.747e-18
1.183e+02         2.941e+00         2.275e+04         4.195e-02         1.019e-01         2.418e-18
1.230e+02         3.101e+00         2.399e+04         4.159e-02         1.051e-01         3.259e-18
1.278e+02         3.259e+00         2.521e+04         4.127e-02         1.082e-01         4.293e-18
1.325e+02         3.412e+00         2.640e+04         4.096e-02         1.113e-01         5.558e-18
1.372e+02         3.562e+00         2.756e+04         4.074e-02         1.142e-01         7.068e-18
1.420e+02         3.708e+00         2.869e+04         4.047e-02         1.171e-01         8.852e-18
1.467e+02         3.850e+00         2.978e+04         4.018e-02         1.199e-01         1.092e-17
1.514e+02         3.987e+00         3.084e+04         3.998e-02         1.226e-01         1.333e-17
1.561e+02         4.120e+00         3.187e+04         3.973e-02         1.253e-01         1.605e-17
1.609e+02         4.249e+00         3.287e+04         3.952e-02         1.278e-01         1.916e-17
1.656e+02         4.374e+00         3.384e+04         3.931e-02         1.303e-01         2.266e-17
1.703e+02         4.496e+00         3.478e+04         3.907e-02         1.325e-01         2.652e-17
1.751e+02         4.613e+00         3.569e+04         3.891e-02         1.348e-01         3.088e-17
1.798e+02         4.728e+00         3.658e+04         3.868e-02         1.370e-01         3.563e-17
1.845e+02         4.839e+00         3.744e+04         3.850e-02         1.391e-01         4.083e-17
1.893e+02         4.947e+00         3.827e+04         3.837e-02         1.412e-01         4.664e-17
1.940e+02         5.052e+00         3.909e+04         3.813e-02         1.431e-01         5.274e-17
1.987e+02         5.155e+00         3.988e+04         3.794e-02         1.450e-01         5.941e-17
2.035e+02         5.255e+00         4.065e+04         3.784e-02         1.470e-01         6.683e-17
2.082e+02         5.352e+00         4.141e+04         3.767e-02         1.488e-01         7.459e-17
2.129e+02         5.448e+00         4.215e+04         3.744e-02         1.504e-01         8.276e-17
2.177e+02         5.541e+00         4.287e+04         3.730e-02         1.521e-01         9.173e-17
2.224e+02         5.633e+00         4.358e+04         3.720e-02         1.538e-01         1.014e-16
2.271e+02         5.722e+00         4.427e+04         3.703e-02         1.554e-01         1.114e-16
2.319e+02         5.810e+00         4.495e+04         3.684e-02         1.569e-01         1.219e-16
2.366e+02         5.897e+00         4.562e+04         3.668e-02         1.584e-01         1.332e-16
2.413e+02         5.981e+00         4.627e+04         3.657e-02         1.599e-01         1.452e-16
2.460e+02         6.065e+00         4.692e+04         3.646e-02         1.614e-01         1.578e-16
2.508e+02         6.147e+00         4.756e+04         3.632e-02         1.628e-01         1.710e-16
2.555e+02         6.228e+00         4.818e+04         3.615e-02         1.642e-01         1.847e-16
2.602e+02         6.308e+00         4.880e+04         3.600e-02         1.655e-01         1.991e-16
2.650e+02         6.387e+00         4.941e+04         3.587e-02         1.668e-01         2.142e-16
2.697e+02         6.464e+00         5.001e+04         3.576e-02         1.682e-01         2.301e-16
2.744e+02         6.541e+00         5.061e+04         3.564e-02         1.694e-01         2.466e-16
2.792e+02         6.617e+00         5.119e+04         3.552e-02         1.707e-01         2.637e-16
2.839e+02         6.692e+00         5.177e+04         3.538e-02         1.719e-01         2.814e-16
2.886e+02         6.767e+00         5.235e+04         3.525e-02         1.731e-01         2.998e-16
