!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2.716e-01                   1.445e-14                   0.000e+00                   0.000e+00                   5.185e-17                   2.879e-20                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00
1.122e+00                   7.025e-14                   1.790e-24                   0.000e+00                   1.433e-15                   1.600e-16                   2.018e-15                   9.630e-16                   5.683e-16                   1.968e-16                   1.149e-16                   3.871e-17                   8.369e-21                   7.789e-22                   9.635e-23                   3.273e-22                   9.871e-18                   2.248e-18                   1.839e-20                   5.717e-20                   2.413e-19                   1.106e-19                   3.273e-20                   2.828e-20                   2.022e-20                   4.178e-20                   2.390e-20
1.734e+00                   8.752e-14                   7.710e-20                   4.742e-22                   2.872e-15                   1.750e-16                   3.797e-15                   2.126e-15                   1.452e-15                   7.779e-16                   5.534e-16                   3.373e-16                   1.019e-17                   4.691e-19                   2.060e-19                   1.414e-18                   1.373e-16                   5.080e-17                   2.882e-18                   1.044e-17                   4.320e-17                   2.433e-17                   7.807e-18                   7.166e-18                   5.561e-18                   1.215e-17                   7.384e-18
3.080e+00                   1.129e-13                   3.206e-18                   5.035e-20                   3.337e-15                   2.497e-16                   4.225e-15                   2.449e-15                   1.687e-15                   1.025e-15                   7.889e-16                   5.733e-16                   1.067e-16                   3.464e-18                   2.933e-18                   2.728e-17                   2.682e-16                   1.136e-16                   1.465e-17                   5.609e-17                   2.223e-16                   1.438e-16                   4.621e-17                   4.433e-17                   3.518e-17                   8.115e-17                   4.682e-17
4.310e+00                   1.312e-13                   2.117e-17                   5.268e-19                   3.151e-15                   3.237e-16                   3.890e-15                   2.295e-15                   1.566e-15                   1.002e-15                   7.949e-16                   6.192e-16                   3.163e-16                   7.741e-18                   1.079e-17                   1.220e-16                   3.117e-16                   1.386e-16                   3.037e-17                   1.197e-16                   4.529e-16                   3.269e-16                   1.038e-16                   1.019e-16                   8.145e-17                   1.995e-16                   1.067e-16
5.266e+00                   1.428e-13                   6.856e-17                   2.238e-18                   2.859e-15                   3.823e-16                   3.494e-15                   2.050e-15                   1.405e-15                   9.166e-16                   7.447e-16                   5.983e-16                   5.880e-16                   1.314e-17                   2.363e-17                   3.099e-16                   3.117e-16                   1.417e-16                   4.599e-17                   1.847e-16                   6.693e-16                   5.270e-16                   1.655e-16                   1.640e-16                   1.311e-16                   3.410e-16                   1.690e-16
6.043e+00                   1.503e-13                   1.557e-16                   6.077e-18                   2.585e-15                   4.289e-16                   3.096e-15                   1.849e-15                   1.242e-15                   8.360e-16                   6.834e-16                   5.652e-16                   8.767e-16                   1.784e-17                   3.996e-17                   5.931e-16                   2.971e-16                   1.397e-16                   6.024e-17                   2.451e-16                   8.546e-16                   7.209e-16                   2.244e-16                   2.227e-16                   1.778e-16                   4.896e-16                   2.258e-16
6.720e+00                   1.560e-13                   2.902e-16                   1.287e-17                   2.349e-15                   4.711e-16                   2.816e-15                   1.669e-15                   1.122e-15                   7.611e-16                   6.261e-16                   5.237e-16                   1.166e-15                   2.238e-17                   5.877e-17                   9.714e-16                   2.794e-16                   1.327e-16                   7.347e-17                   3.017e-16                   1.018e-15                   9.067e-16                   2.806e-16                   2.778e-16                   2.212e-16                   6.421e-16                   2.773e-16
7.338e+00                   1.604e-13                   4.748e-16                   2.314e-17                   2.156e-15                   5.087e-16                   2.577e-15                   1.504e-15                   1.033e-15                   6.949e-16                   5.804e-16                   4.819e-16                   1.440e-15                   2.581e-17                   7.875e-17                   1.433e-15                   2.612e-16                   1.234e-16                   8.540e-17                   3.532e-16                   1.158e-15                   1.077e-15                   3.323e-16                   3.274e-16                   2.601e-16                   7.920e-16                   3.223e-16
7.920e+00                   1.639e-13                   7.104e-16                   3.725e-17                   1.983e-15                   5.439e-16                   2.321e-15                   1.410e-15                   9.393e-16                   6.403e-16                   5.380e-16                   4.523e-16                   1.694e-15                   3.055e-17                   9.917e-17                   1.970e-15                   2.453e-16                   1.164e-16                   9.615e-17                   4.000e-16                   1.280e-15                   1.233e-15                   3.796e-16                   3.719e-16                   2.946e-16                   9.374e-16                   3.615e-16
