E/N (Td)          Energy (eV)
1.000e-01         2.716e-01
4.091e+01         1.122e+00
8.173e+01         1.734e+00
1.225e+02         3.080e+00
1.634e+02         4.310e+00
2.042e+02         5.266e+00
2.450e+02         6.043e+00
2.858e+02         6.720e+00
3.266e+02         7.338e+00
3.674e+02         7.920e+00
4.082e+02         8.479e+00
4.491e+02         9.022e+00
4.899e+02         9.555e+00
5.307e+02         1.008e+01
5.715e+02         1.060e+01
6.123e+02         1.111e+01
6.531e+02         1.162e+01
6.939e+02         1.213e+01
7.348e+02         1.264e+01
7.756e+02         1.315e+01
8.164e+02         1.365e+01
8.572e+02         1.416e+01
8.980e+02         1.466e+01
9.388e+02         1.516e+01
9.796e+02         1.567e+01
1.020e+03         1.617e+01
1.061e+03         1.667e+01
1.102e+03         1.717e+01
1.143e+03         1.767e+01
1.184e+03         1.817e+01
1.225e+03         1.867e+01
1.265e+03         1.916e+01
1.306e+03         1.966e+01
1.347e+03         2.015e+01
1.388e+03         2.064e+01
1.429e+03         2.112e+01
1.469e+03         2.161e+01
1.510e+03         2.209e+01
1.551e+03         2.256e+01
1.592e+03         2.304e+01
1.633e+03         2.351e+01
1.673e+03         2.397e+01
1.714e+03         2.443e+01
1.755e+03         2.489e+01
1.796e+03         2.534e+01
1.837e+03         2.579e+01
1.878e+03         2.623e+01
1.918e+03         2.667e+01
1.959e+03         2.710e+01
2.000e+03         2.753e+01
