E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
1.000e-01         2.716e-01         2.101e+03         3.346e-01         4.391e-02         0.000e+00
4.091e+01         1.122e+00         8.679e+03         5.347e-02         7.115e-02         1.790e-24
8.173e+01         1.734e+00         1.342e+04         4.552e-02         7.903e-02         7.710e-20
1.225e+02         3.080e+00         2.383e+04         4.166e-02         1.050e-01         3.206e-18
1.634e+02         4.310e+00         3.335e+04         3.951e-02         1.293e-01         2.117e-17
2.042e+02         5.266e+00         4.074e+04         3.794e-02         1.475e-01         6.856e-17
2.450e+02         6.043e+00         4.675e+04         3.647e-02         1.611e-01         1.557e-16
2.858e+02         6.720e+00         5.199e+04         3.540e-02         1.724e-01         2.902e-16
3.266e+02         7.338e+00         5.677e+04         3.436e-02         1.821e-01         4.748e-16
3.674e+02         7.920e+00         6.127e+04         3.347e-02         1.909e-01         7.104e-16
4.082e+02         8.479e+00         6.559e+04         3.269e-02         1.989e-01         9.977e-16
4.491e+02         9.022e+00         6.980e+04         3.198e-02         2.064e-01         1.334e-15
4.899e+02         9.555e+00         7.392e+04         3.128e-02         2.135e-01         1.716e-15
5.307e+02         1.008e+01         7.798e+04         3.068e-02         2.202e-01         2.143e-15
5.715e+02         1.060e+01         8.200e+04         3.011e-02         2.268e-01         2.611e-15
6.123e+02         1.111e+01         8.598e+04         2.957e-02         2.330e-01         3.117e-15
6.531e+02         1.162e+01         8.993e+04         2.907e-02         2.392e-01         3.659e-15
6.939e+02         1.213e+01         9.387e+04         2.861e-02         2.451e-01         4.234e-15
7.348e+02         1.264e+01         9.780e+04         2.816e-02         2.509e-01         4.839e-15
7.756e+02         1.315e+01         1.017e+05         2.772e-02         2.567e-01         5.469e-15
8.164e+02         1.365e+01         1.056e+05         2.734e-02         2.621e-01         6.131e-15
8.572e+02         1.416e+01         1.095e+05         2.695e-02         2.676e-01         6.811e-15
8.980e+02         1.466e+01         1.134e+05         2.659e-02         2.730e-01         7.518e-15
9.388e+02         1.516e+01         1.173e+05         2.624e-02         2.784e-01         8.241e-15
9.796e+02         1.567e+01         1.212e+05         2.591e-02         2.836e-01         8.983e-15
1.020e+03         1.617e+01         1.251e+05         2.559e-02         2.888e-01         9.744e-15
1.061e+03         1.667e+01         1.290e+05         2.529e-02         2.940e-01         1.052e-14
1.102e+03         1.717e+01         1.328e+05         2.501e-02         2.991e-01         1.131e-14
1.143e+03         1.767e+01         1.367e+05         2.473e-02         3.042e-01         1.211e-14
1.184e+03         1.817e+01         1.406e+05         2.446e-02         3.093e-01         1.293e-14
1.225e+03         1.867e+01         1.444e+05         2.421e-02         3.144e-01         1.375e-14
1.265e+03         1.916e+01         1.482e+05         2.397e-02         3.194e-01         1.459e-14
1.306e+03         1.966e+01         1.521e+05         2.373e-02         3.245e-01         1.543e-14
1.347e+03         2.015e+01         1.559e+05         2.350e-02         3.295e-01         1.628e-14
1.388e+03         2.064e+01         1.596e+05         2.329e-02         3.345e-01         1.715e-14
1.429e+03         2.112e+01         1.634e+05         2.308e-02         3.395e-01         1.801e-14
1.469e+03         2.161e+01         1.671e+05         2.288e-02         3.446e-01         1.888e-14
1.510e+03         2.209e+01         1.709e+05         2.269e-02         3.496e-01         1.976e-14
1.551e+03         2.256e+01         1.746e+05         2.250e-02         3.547e-01         2.065e-14
1.592e+03         2.304e+01         1.782e+05         2.232e-02         3.598e-01         2.153e-14
1.633e+03         2.351e+01         1.818e+05         2.215e-02         3.649e-01         2.242e-14
1.673e+03         2.397e+01         1.854e+05         2.198e-02         3.700e-01         2.332e-14
1.714e+03         2.443e+01         1.890e+05         2.182e-02         3.751e-01         2.421e-14
1.755e+03         2.489e+01         1.926e+05         2.166e-02         3.802e-01         2.511e-14
1.796e+03         2.534e+01         1.961e+05         2.151e-02         3.854e-01         2.601e-14
1.837e+03         2.579e+01         1.995e+05         2.136e-02         3.907e-01         2.691e-14
1.878e+03         2.623e+01         2.029e+05         2.122e-02         3.959e-01         2.781e-14
1.918e+03         2.667e+01         2.063e+05         2.108e-02         4.011e-01         2.872e-14
1.959e+03         2.710e+01         2.097e+05         2.095e-02         4.064e-01         2.962e-14
2.000e+03         2.753e+01         2.130e+05         2.082e-02         4.117e-01         3.052e-14
