!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2.716e-01                   1.440e-14                   0.000e+00                   0.000e+00                   5.171e-17                   2.405e-20                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00                   0.000e+00
1.122e+00                   7.022e-14                   1.609e-24                   0.000e+00                   1.423e-15                   1.597e-16                   2.010e-15                   9.522e-16                   5.600e-16                   1.915e-16                   1.112e-16                   3.619e-17                   7.724e-21                   7.462e-22                   8.859e-23                   2.994e-22                   9.078e-18                   2.061e-18                   1.709e-20                   5.313e-20                   2.242e-19                   1.027e-19                   3.040e-20                   2.626e-20                   1.877e-20                   3.878e-20                   2.218e-20
1.734e+00                   8.730e-14                   7.554e-20                   4.610e-22                   2.850e-15                   1.753e-16                   3.800e-15                   2.117e-15                   1.431e-15                   7.650e-16                   5.423e-16                   3.316e-16                   1.004e-17                   4.710e-19                   2.027e-19                   1.390e-18                   1.344e-16                   5.015e-17                   2.848e-18                   1.032e-17                   4.270e-17                   2.404e-17                   7.714e-18                   7.079e-18                   5.493e-18                   1.200e-17                   7.294e-18
3.080e+00                   1.125e-13                   3.160e-18                   4.947e-20                   3.317e-15                   2.494e-16                   4.202e-15                   2.441e-15                   1.675e-15                   1.018e-15                   7.773e-16                   5.625e-16                   1.057e-16                   3.349e-18                   2.902e-18                   2.695e-17                   2.652e-16                   1.125e-16                   1.454e-17                   5.567e-17                   2.207e-16                   1.427e-16                   4.586e-17                   4.398e-17                   3.491e-17                   8.049e-17                   4.646e-17
4.310e+00                   1.308e-13                   2.094e-17                   5.195e-19                   3.157e-15                   3.228e-16                   3.887e-15                   2.286e-15                   1.570e-15                   1.004e-15                   7.974e-16                   6.167e-16                   3.137e-16                   7.973e-18                   1.070e-17                   1.208e-16                   3.095e-16                   1.379e-16                   3.017e-17                   1.189e-16                   4.501e-16                   3.248e-16                   1.032e-16                   1.013e-16                   8.091e-17                   1.981e-16                   1.061e-16
5.266e+00                   1.424e-13                   6.797e-17                   2.215e-18                   2.861e-15                   3.812e-16                   3.464e-15                   2.054e-15                   1.398e-15                   9.205e-16                   7.466e-16                   5.990e-16                   5.844e-16                   1.286e-17                   2.347e-17                   3.075e-16                   3.102e-16                   1.423e-16                   4.576e-17                   1.837e-16                   6.660e-16                   5.242e-16                   1.646e-16                   1.631e-16                   1.304e-16                   3.391e-16                   1.682e-16
6.043e+00                   1.502e-13                   1.550e-16                   6.042e-18                   2.587e-15                   4.287e-16                   3.105e-15                   1.844e-15                   1.250e-15                   8.358e-16                   6.857e-16                   5.612e-16                   8.748e-16                   1.763e-17                   3.984e-17                   5.909e-16                   2.968e-16                   1.383e-16                   6.016e-17                   2.447e-16                   8.536e-16                   7.197e-16                   2.240e-16                   2.223e-16                   1.775e-16                   4.887e-16                   2.255e-16
6.720e+00                   1.558e-13                   2.887e-16                   1.279e-17                   2.354e-15                   4.702e-16                   2.803e-15                   1.670e-15                   1.129e-15                   7.596e-16                   6.293e-16                   5.221e-16                   1.163e-15                   2.221e-17                   5.855e-17                   9.673e-16                   2.787e-16                   1.311e-16                   7.329e-17                   3.010e-16                   1.016e-15                   9.043e-16                   2.798e-16                   2.770e-16                   2.207e-16                   6.402e-16                   2.766e-16
7.338e+00                   1.602e-13                   4.729e-16                   2.303e-17                   2.152e-15                   5.083e-16                   2.554e-15                   1.521e-15                   1.026e-15                   6.949e-16                   5.784e-16                   4.836e-16                   1.437e-15                   2.613e-17                   7.855e-17                   1.429e-15                   2.607e-16                   1.236e-16                   8.527e-17                   3.527e-16                   1.156e-15                   1.076e-15                   3.317e-16                   3.269e-16                   2.597e-16                   7.904e-16                   3.218e-16
7.920e+00                   1.639e-13                   7.085e-16                   3.712e-17                   1.981e-15                   5.436e-16                   2.343e-15                   1.395e-15                   9.395e-16                   6.394e-16                   5.347e-16                   4.497e-16                   1.693e-15                   3.029e-17                   9.902e-17                   1.966e-15                   2.440e-16                   1.163e-16                   9.611e-17                   3.998e-16                   1.279e-15                   1.232e-15                   3.794e-16                   3.717e-16                   2.944e-16                   9.366e-16                   3.613e-16
