E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
1.000e-01         2.716e-01         2.101e+03         3.311e-01         4.391e-02         0.000e+00
4.091e+01         1.122e+00         8.679e+03         5.304e-02         7.113e-02         1.609e-24
8.173e+01         1.734e+00         1.342e+04         4.533e-02         7.893e-02         7.554e-20
1.225e+02         3.080e+00         2.383e+04         4.157e-02         1.047e-01         3.160e-18
1.634e+02         4.310e+00         3.335e+04         3.941e-02         1.290e-01         2.094e-17
2.042e+02         5.266e+00         4.074e+04         3.782e-02         1.472e-01         6.797e-17
2.450e+02         6.043e+00         4.675e+04         3.649e-02         1.611e-01         1.550e-16
2.858e+02         6.720e+00         5.199e+04         3.533e-02         1.724e-01         2.887e-16
3.266e+02         7.338e+00         5.677e+04         3.435e-02         1.821e-01         4.729e-16
3.674e+02         7.920e+00         6.127e+04         3.347e-02         1.908e-01         7.085e-16
4.082e+02         8.479e+00         6.559e+04         3.268e-02         1.989e-01         9.947e-16
4.491e+02         9.022e+00         6.980e+04         3.196e-02         2.064e-01         1.330e-15
4.899e+02         9.555e+00         7.392e+04         3.129e-02         2.135e-01         1.712e-15
5.307e+02         1.008e+01         7.798e+04         3.069e-02         2.203e-01         2.138e-15
5.715e+02         1.060e+01         8.200e+04         3.011e-02         2.268e-01         2.605e-15
6.123e+02         1.111e+01         8.598e+04         2.958e-02         2.331e-01         3.110e-15
6.531e+02         1.162e+01         8.993e+04         2.908e-02         2.392e-01         3.651e-15
6.939e+02         1.213e+01         9.387e+04         2.861e-02         2.451e-01         4.224e-15
7.348e+02         1.264e+01         9.780e+04         2.815e-02         2.510e-01         4.827e-15
7.756e+02         1.315e+01         1.017e+05         2.774e-02         2.567e-01         5.461e-15
8.164e+02         1.365e+01         1.056e+05         2.733e-02         2.622e-01         6.117e-15
8.572e+02         1.416e+01         1.095e+05         2.695e-02         2.677e-01         6.798e-15
8.980e+02         1.466e+01         1.134e+05         2.659e-02         2.731e-01         7.503e-15
9.388e+02         1.516e+01         1.173e+05         2.624e-02         2.784e-01         8.225e-15
9.796e+02         1.567e+01         1.212e+05         2.591e-02         2.837e-01         8.966e-15
1.020e+03         1.617e+01         1.251e+05         2.560e-02         2.889e-01         9.726e-15
1.061e+03         1.667e+01         1.290e+05         2.530e-02         2.940e-01         1.050e-14
1.102e+03         1.717e+01         1.328e+05         2.501e-02         2.992e-01         1.129e-14
1.143e+03         1.767e+01         1.367e+05         2.473e-02         3.043e-01         1.209e-14
1.184e+03         1.817e+01         1.406e+05         2.447e-02         3.093e-01         1.290e-14
1.225e+03         1.867e+01         1.444e+05         2.421e-02         3.144e-01         1.373e-14
1.265e+03         1.916e+01         1.482e+05         2.397e-02         3.195e-01         1.456e-14
1.306e+03         1.966e+01         1.521e+05         2.373e-02         3.245e-01         1.541e-14
1.347e+03         2.015e+01         1.559e+05         2.351e-02         3.295e-01         1.626e-14
1.388e+03         2.064e+01         1.596e+05         2.329e-02         3.345e-01         1.712e-14
1.429e+03         2.112e+01         1.634e+05         2.308e-02         3.396e-01         1.798e-14
1.469e+03         2.161e+01         1.671e+05         2.288e-02         3.446e-01         1.885e-14
1.510e+03         2.209e+01         1.709e+05         2.269e-02         3.497e-01         1.973e-14
1.551e+03         2.256e+01         1.746e+05         2.250e-02         3.548e-01         2.061e-14
1.592e+03         2.304e+01         1.782e+05         2.232e-02         3.598e-01         2.150e-14
1.633e+03         2.351e+01         1.818e+05         2.215e-02         3.649e-01         2.239e-14
1.673e+03         2.397e+01         1.854e+05         2.198e-02         3.701e-01         2.328e-14
1.714e+03         2.443e+01         1.890e+05         2.182e-02         3.752e-01         2.418e-14
1.755e+03         2.489e+01         1.926e+05         2.166e-02         3.803e-01         2.507e-14
1.796e+03         2.534e+01         1.961e+05         2.151e-02         3.855e-01         2.597e-14
1.837e+03         2.579e+01         1.995e+05         2.137e-02         3.907e-01         2.687e-14
1.878e+03         2.623e+01         2.029e+05         2.122e-02         3.959e-01         2.777e-14
1.918e+03         2.667e+01         2.063e+05         2.109e-02         4.012e-01         2.867e-14
1.959e+03         2.710e+01         2.097e+05         2.095e-02         4.064e-01         2.958e-14
2.000e+03         2.753e+01         2.130e+05         2.082e-02         4.117e-01         3.048e-14
